Issue Number,Comment Count
3,1
4,4
6,2
8,2
9,3
10,8
11,3
12,9
14,0
15,8
17,4
18,5
19,2
20,4
21,10
22,2
23,1
24,7
25,5
26,9
27,2
28,2
29,2
30,2
31,13
32,5
33,3
35,5
36,4
37,4
38,3
39,2
40,1
42,4
43,3
44,3
45,4
46,21
47,3
48,3
49,2
50,9
51,4
52,9
53,9
54,9
55,1
56,5
57,8
58,7
59,3
60,5
61,3
62,8
63,4
64,1
65,5
66,1
67,4
68,10
69,17
70,1
71,5
72,1
73,6
74,3
76,4
77,5
78,6
79,1
80,4
82,2
83,2
84,2
85,5
86,4
87,4
88,3
89,3
90,7
91,4
92,4
93,6
94,5
95,10
96,4
97,3
98,0
100,4
101,13
102,1
103,1
104,8
105,5
106,2
107,17
108,4
109,2
110,4
111,3
113,5
114,2
115,3
116,2
118,6
120,4
121,2
122,4
123,0
124,4
125,13
126,2
127,2
128,11
129,4
130,1
131,5
132,3
133,11
135,5
137,5
139,4
140,4
141,6
142,7
143,1
144,1
145,7
146,4
147,2
148,6
149,4
150,3
152,3
153,5
154,4
155,5
159,7
160,5
161,4
162,5
164,2
165,2
166,3
167,1
168,2
169,1
170,4
171,11
172,11
173,0
174,6
175,3
176,2
177,6
178,4
179,2
180,4
181,2
182,0
183,2
185,2
186,4
187,3
188,1
189,28
190,5
191,1
192,2
193,6
194,2
195,0
196,3
197,20
198,14
200,4
201,8
202,0
203,2
204,14
205,4
206,13
207,5
208,6
209,4
210,0
211,6
212,4
213,2
216,4
217,5
218,1
219,3
220,3
221,0
222,2
223,5
224,0
225,2
226,2
227,4
228,15
230,2
231,2
232,4
233,2
234,2
235,7
236,1
237,2
238,1
239,1
240,1
241,5
242,3
244,39
245,1
246,2
247,3
248,1
249,7
250,1
251,2
252,4
253,2
254,0
255,5
256,9
257,5
258,0
260,0
261,9
262,1
263,5
264,10
265,1
266,3
267,4
268,1
269,2
270,1
271,1
274,3
275,2
276,1
277,0
278,6
279,0
280,1
281,0
282,0
283,2
284,2
285,2
286,1
287,0
288,2
289,0
290,4
292,4
293,1
294,1
295,2
296,0
297,0
298,2
299,0
300,0
302,0
303,0
304,1
305,2
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,1
315,0
316,5
317,0
319,0
320,2
321,1
322,0
