Issue Number,Developer Count
3,2
4,3
6,2
8,3
9,4
10,4
11,2
12,6
14,1
15,6
17,6
18,4
19,2
20,2
21,3
22,3
23,2
24,4
25,6
26,4
27,3
28,2
29,2
30,4
31,5
32,6
33,2
35,5
36,4
37,2
38,2
39,3
40,2
42,3
43,4
44,3
45,2
46,5
47,4
48,4
49,2
50,4
51,3
52,4
53,6
54,4
55,1
56,4
57,4
58,3
59,2
60,2
61,3
62,3
63,4
64,3
65,4
66,2
67,3
68,3
69,4
70,3
71,3
72,2
73,4
74,4
76,5
77,3
78,2
79,2
80,2
82,2
83,3
84,3
85,4
86,3
87,2
88,3
89,4
90,2
91,4
92,2
93,3
94,4
95,5
96,4
97,2
98,1
100,2
101,5
102,1
103,1
104,4
105,2
106,2
107,2
108,2
109,2
110,3
111,2
113,3
114,4
115,2
116,3
118,4
120,4
121,2
122,2
123,1
124,2
125,4
126,2
127,2
128,2
129,2
130,2
131,3
132,4
133,3
135,3
137,4
139,2
140,4
141,3
142,3
143,2
144,2
145,2
146,5
147,2
148,4
149,2
150,2
152,3
153,5
154,2
155,3
159,3
160,2
161,2
162,3
164,2
165,3
166,3
167,1
168,2
169,3
170,3
171,4
172,3
173,1
174,6
175,2
176,4
177,2
178,2
179,2
180,3
181,2
182,3
183,3
185,2
186,5
187,2
188,3
189,4
190,4
191,2
192,2
193,5
194,2
195,1
196,3
197,4
198,4
200,2
201,2
202,1
203,3
204,5
205,2
206,2
207,3
208,6
209,2
210,1
211,4
212,2
213,3
216,2
217,3
218,2
219,3
220,2
221,1
222,2
223,2
224,1
225,2
226,2
227,2
228,5
230,2
231,2
232,3
233,2
234,2
235,2
236,2
237,2
238,3
239,2
240,3
241,3
242,3
244,5
245,2
246,2
247,2
248,1
249,2
250,2
251,2
252,2
253,3
254,1
255,2
256,2
257,2
258,1
260,1
261,5
262,2
263,5
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
274,2
275,2
276,2
277,2
278,2
279,1
280,2
281,1
282,1
283,4
284,2
285,2
286,2
287,1
288,2
289,1
290,2
292,2
293,2
294,1
295,2
296,1
297,1
298,2
299,1
300,1
302,1
303,1
304,2
305,2
306,1
307,1
308,1
309,1
310,1
311,2
312,1
313,2
314,1
315,1
316,3
317,1
319,1
320,2
321,2
322,1
