Release,Date,Author Count,Commit Count
TensorFlow Ranking v0.1.3,2019-06-20T20:56:12+00:00,10,48
TensorFlow Ranking v0.1.4,2019-09-05T04:02:59+00:00,8,25
TensorFlow Ranking v0.1.5,2019-09-24T22:06:46+00:00,2,9
TensorFlow Ranking v0.1.6,2019-10-22T05:07:09+00:00,3,6
TensorFlow Ranking v0.2.0,2019-10-22T18:21:20+00:00,1,1
TensorFlow Ranking v0.2.1,2019-12-18T19:56:22+00:00,5,34
TensorFlow Ranking v0.2.2,2020-01-17T01:12:06+00:00,5,12
TensorFlow Ranking v0.2.3,2020-03-06T00:15:52+00:00,4,10
TensorFlow Ranking v0.3.0,2020-03-24T00:25:19+00:00,3,10
TensorFlow Ranking v0.3.1,2020-06-01T21:57:52+00:00,4,29
TensorFlow Ranking v0.3.2,2020-08-19T20:44:22+00:00,4,28
TensorFlow Ranking v0.3.3,2021-01-29T09:51:39+00:00,7,95
TensorFlow Ranking v0.4.0,2021-05-24T23:21:34+00:00,4,84
TensorFlow Ranking v0.4.2,2021-07-22T22:48:31+00:00,4,14
TensorFlow Ranking v0.5.0,2021-11-16T23:42:10+00:00,11,33
